date_created,date_completed,task_id,task_name,category,status,when_worked,notes,completion_days,created_weekday,is_weekend,work_alone_num,got_distracted_num,day_quality_num
2025-10-01,,1,None,None,None,None,None,NaN,Wednesday,0,NaN,NaN,0
2025-10-02,2025-10-02,2,meeting with Byteminds,thesis,done,night,None,0.0,Thursday,0,0.0,0.0,1
2025-10-02,2025-10-02,3,plan church anniversary,church,done,evening,"spaced out multiple times, phone kept distracting me",0.0,Thursday,0,1.0,2.0,1
2025-10-02,2025-10-02,4,print and organize consultation logs,thesis,done,afternoon,None,0.0,Thursday,0,1.0,0.0,1
2025-10-02,2025-10-03,5,assign this week's special number,church,done,evening,"got bored, phone kept distracting me",1.0,Thursday,0,1.0,1.0,1
2025-10-03,2025-10-03,6,progress update for project LODI,academics,done,morning,None,0.0,Friday,0,1.0,0.0,2
2025-10-03,2025-10-06,7,songs for church anniversary,church,done,evening,scrolling on phone,3.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-04,8,songs for choir (October),church,done,evening,scrolling on phone,1.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-04,9,think of a topic prop and pass topic prop (SOCPRO),academics,done,afternoon,got bored,1.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-03,10,upload exercise 6 (RL),academics,done,evening,spaced out multiple times,0.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-03,11,topic proposal (RL),academics,done,afternoon,phone kept distracting me,0.0,Friday,0,1.0,2.0,2
2025-10-03,2025-10-03,12,print and write visuals of allen (Ma'am Susan),personal,done,morning,None,0.0,Friday,0,1.0,0.0,2
2025-10-03,2025-10-05,13,structure of the paper (Thesis 1),thesis,done,night,scrolling on phone,2.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-05,14,GIS upload (CLA),church,done,evening,None,2.0,Friday,0,1.0,0.0,2
2025-10-04,2025-10-04,15,consultation log 7,thesis,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-04,2025-10-05,16,choosing final topic (RL),academics,done,afternoon,scrolling on phone,1.0,Saturday,1,1.0,1.0,2
2025-10-04,2025-10-04,17,bring visuals and print of allen,personal,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-04,2025-10-04,18,bring consultation logs (left it on the table),thesis,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-04,2025-10-04,19,continue doing the LODI (11am),academics,done,evening,got bored,0.0,Saturday,1,1.0,2.0,2
2025-10-04,2025-10-04,20,strengthen SOCPRO topic,academics,done,night,scrolling on phone,0.0,Saturday,1,1.0,1.0,2
2025-10-04,2025-10-04,21,do missing lec,academics,done,afternoon,scrolling on phone,0.0,Saturday,1,1.0,1.0,2
2025-10-05,2025-10-05,22,submitted na AFS GIS na lang,church,done,evening,None,0.0,Sunday,1,1.0,0.0,1
2025-10-05,2025-10-05,23,music sheet,church,done,evening,got tired halfway,0.0,Sunday,1,1.0,1.0,1
2025-10-05,2025-10-05,24,choir,church,done,evening,None,0.0,Sunday,1,0.0,0.0,1
2025-10-05,2025-10-05,25,GIS,church,done,evening,None,0.0,Sunday,1,1.0,0.0,1
2025-10-05,2025-10-05,26,sunday school teacher ,church,done,morning,None,0.0,Sunday,1,1.0,0.0,1
2025-10-05,2025-10-05,27,print lyrics choir,church,done,morning,None,0.0,Sunday,1,1.0,0.0,1
2025-10-06,2025-10-06,28,submitted na AFS GIS na lang,church,done,afternoon,None,0.0,Monday,0,1.0,0.0,0
2025-10-06,2025-10-06,29,send songs (anniversary),church,done,afternoon,None,0.0,Monday,0,1.0,0.0,0
